AuthName,ID,ArtTitle,PubDate,Source,Service,AuthSex,AuthRank,PolicySecurity,PersTroopSpt,GenAdvice,PolicySocial,Party,PolAdminName,Result,Justification,Details
"Keane, Jack and Graham, Lindsey",1,We Can't Outsource our Security to Anyone - Especially the Taliban,2019-08-29,WaPo,"Army, Air Force",M,"10, 6",1,,,,,,,,
"Hertling, Mark and Natter, Robert",1,Cutting Refugee Admissions Will Have Severe Consequences for the US Military ,2019-09-08,WaPo,"Army, Navy",M ,"9, 10",,,,1,,,Questionable,Topic,The authors discuss a topic outside of their area of expertise. 
"Bacevich, Andrew",0,Saudi Arabia is No Friend of America,2019-09-17,NYT,Army,M,6,1,,,,,,,,
"McRaven, William",1,Our Republic is Under Attack From the President,2019-10-19,NYT,Navy,M,10,,,,,,1,Inappropriate,"Topic, Political Leaning",The author blatantly attacks President Trump.
"Petraeus, David and Serchuk, Vance",1,Trump Was Right to Abandon the Peace Deal. Here's What a Good One Would Look Like. ,2019-11-14,WaPo,Army,M,10,1,,,,,,,,
"Votel, Joseph",1,Ending America's Endless War in Afghanistan,2019-12-13,NYT,Army,M,10,1,,,,,,,,
"McRaven, William",1,"If Good Men Can’t Speak the Truth, We Should Be Deeply Afraid",2020-02-22,WaPo,Navy,M,10,,,,,,1,Inappropriate,"Topic, Political Leaning",The author comments on the general political atmosphere.
"McRaven, William",1,The Dawn Seems a Long Way Off. But Hope Abounds. ,2020-03-20,WaPo,Navy,M,10,,,1,,,,,,
"McChrystal, Stanley and Fussell, Chris",1,9/11's Lessons on Crisis Leadership,2020-03-24,NYT,Army,M,10,,,1,,,,,,
"Kelly, Scott",0,"I Spent a Year in Space, and I Have Tips on Isolation to Share",2020-03-24,NYT,Navy,M,6,,,1,,,,,,
"Stavridis, James",1,What Was Life Like for Sailors During the Battle of the Atlantic?,2020-04-14,NYT,Navy,M,10,,,1,,,,,,
