AuthName,ID,ArtTitle,PubDate,Source,Service,AuthSex,AuthRank,Warfighting_Ops,TroopSpt_Culture,Strat_Advice,MilPolicy_Social,Domestic_Policy,Admin_Fig_Name,Thesis,Result,Justification,Details
"Flynn, Stephen and Loy, James",1,A Port in the Storm Over Dubai,2006-02-28,NYT,Coast Guard,M,"10,5",,,1,,,,"At the end of the day, America's port security challenge is not about who is in charge of our waterfront. The real issue is that we are relying on commercial companies largely to police themselves. Both Congress and the White House should embrace a framework of ""trust, but verify"" in President Ronald Reagan's phrase, based on real standards and oversight. ",,,
"Eaton, Paul",1,A Top-Down Review for the Pentagon,2006-03-19,NYT,Army,M,8,,,,,,1,,Inappropriate,Political Leaning,Attack of Secretary of Defense Donald Rumsfeld
"Crosby, John and McInerney, Thomas and Moore, Burton and Vallely, Paul",1,In Defense of Donald Rumsfeld,2006-04-17,WSJ,"Army, Air Force, Air Force, Army",M ,"9,9,8,8",,,,,,1,,Inappropriate,Political Leaning,Defense of Secretary of Defense Donald Rumsfeld
"Bacevich, Andrew",0,What's an Iraqi Life Worth,2006-07-09,WaPo,Army,M,6,,,1,,,,,,,
"Daly, Terence",1,Killing Won't Win This War,2006-08-21,NYT,Army,M,5,1,,,,,,"There is a difference between killing insurgents and fighting an insurgency…counterinsurgency is about gaining control of the population, not killing or detaining enemy fighters. A properly planned counterinsurgency campaign moves the population, by stages, from reluctant acceptance of the counterinsurgent force to, ideally, full support.",,,
"Haseman, John and Lachica, Eduardo",1,Military Thais,2006-10-09,WSJ,Army,M,6,,,1,,,,,,,
"Murtha, John",1,Confessions of a 'Defeatocrat',2006-10-15,WaPo,Marine Corps,M,6,,,,,,1,,,,
"Eaton, Paul",1,An Army of One Less,2006-11-10,NYT,Army,M,8,,,,,,1,,Inappropriate,Political Leaning,Jab at Secretary of Defense Donald Rumsfeld after 2006 midterm elections
"Clark, Wesley",1,Next Move in Iraq? The Right Approach is One that Addresses U.S. Interests in the Entire Region,2006-11-21,USA Today,Army,M,10,1,,,,,,,,,
"Hammes, T.X.",1,The Way to Win a Guerilla War,2006-11-26,WaPo,Marine Corps,M,6,,,1,,,,,,,
"McCaffrey, Barry",1,Beyond Baker-Hamilton: One Approch to a Last Try at Stability in Iraq,2006-12-13,WaPo,Army,M,10,1,,,,,,,,,
"Ryan, Kevin",1,Stretched Too Thin; We Don't Have Enough Troops to Meet Defense Demands,2006-12-18,WaPo,Army,M,7,1,,,,,,,,,
"Shalikashvili, John",1,Second Thoughts on Gays in the Military,2007-01-02,NYT,Army,M,10,,,,1,,,,Permissible,N/A,"The author is clearly addressing a past opinion he had regarding DADT, and the specific military implications of the policy."
"Clark, Wesley",1,The Smart Surge: Diplomacy,2007-01-08,WaPo,Army,M,10,,,1,,,,,,,
"Eaton, Paul",1,Casualties of the Budget Wars,2007-03-06,NYT,Army,M,8,,,1,,,,,,,
"McInerney, Thomas",1,Iran Escalates,2007-03-30,WSJ,Air Force,M,9,,,1,,,,,,,
"Clark, Vern and Pickering, Thomas",1,A Treaty that Lifts All Boats,2007-07-14,NYT,Navy,M,10,1,,,,,,,,,
"Clark, Wesley and Raustiala, Kal",1,Why Terrorists Aren't Soldiers,2007-08-08,NYT,Army,M,10,,,,,,1,,Questionable,Topic,"The authors invoke America's commitment to ""political traditions and liberty"" in making their argument. They are not necessarily wrong, but is it appropriate for military officers to advance this argument?"
"Jacobs, Jack",1,Generals Don't Need a Watchdog,2007-08-09,NYT,Army,M,6,,1,,,,,We don't need better regulations. We need better leaders. ,,,
"Hoar, Joseph",1,Abandoned at the Border,2007-08-31,NYT,Marine Corps,M,10,,,,,1,,"As a key part of that strategy, the United States must reach out to Iraq's neighbors -- including Syria -- and demonstrate a willingness to help support and take I refugees, starting with those who risked their lives to stand with us. ",,,
"McCain, John and Lieberman, Joe",0,Listening to Petraeus,2007-09-10,WSJ,Navy,M,6,1,,,,,,,,,
"Willbanks, James",0,"Winning the Battle, Losing the War",2008-03-05,NYT,Army,M,5,1,,,,,,,,,
"Brzezinski, Zbigniew and Odom, William",1,A Sensible Path on Iran,2008-05-27,WaPo,Army,M,9,,,1,,,,A successful approach to Iran has to accommodate its security interests and ours. ,,,
"Buzby, Mark",1,Guantanamo is a Model Prison (Really),2008-06-04,WSJ,Navy,M,8,,,1,,,,,,,
"Fallon, William",1,Surge Protector,2008-07-20,NYT,Navy,M,10,1,,,,,,,,,
"McFarlane, Robert",0,From Beirut to 9/11,2008-10-23,NYT,Marine Corps,M,5,1,,,,,,"First however, we must win in Afghanistan -- truly the decisive battleground in this global struggle…Unless our next president understands the complexity of the challenge as well as what it will take to succeed, and can lead his cabinet and our country in resolute execution of that strategy, we will lose this war. ",,,
"Clark, Wesley",1,What's Good for G.M. is Good for the Army,2008-11-16,NYT,Army,M,10,,,1,,,,,,,
"Mansoor, Peter",0,How to Leave Iraq -- Intact,2008-11-23,NYT,Army,M,6,1,,,,,,,,,
"Owens, William",1,A Lean War Machine,2008-12-21,NYT,Navy,M,10,,,1,,,,,,,
"Hayden, Michael",0,Defenders at Risk: How Blame Games Are Costing Spy Agencies,2009-06-19,WaPo,Air Force,M,10,,,1,,,,"A whole swatch of intelligence professionals --- the best we had, the ones we threw at the al-Qaeda challenge when the nation was in extremis -- are suffering for their sacrifice….",,,
"Wald, Charles ",1,There is a Military Option on Iran,2009-08-07,WSJ,Air Force,M,10,1,,,,,,,,,
"McPeak, Merrill",1,Why We Need the F-22,2009-08-10,WSJ,Air Force,M,10,1,,,,,,,,,
"McPeak, Merrill",1,10 Steps to Victory in Afghanistan: Polls Have the Power,2009-10-04,NYT,Air Force,M,10,,,1,,,,,,,
"Eisenhower, John",1,How Generals Should Talk to Presidents,2009-10-18,NYT,Army,M,7,,,1,,,,,,,
"Sorley, Lewis",1,The Vietnam War We Ignore,2009-10-18,NYT,Army,M,5,1,,,,,,"[Comparisons between Vietnam and Afghanistan] can be useful, but only if the characteristics of earlier wars are accurate and lessons are appropriately applied. ",,,
"Geraghty, Timothy",1,Iran Expands its Target List; I was the Commander in Beirut in 1983. I've Seen these Tactics Before.,2010-01-03,WSJ,Marine Corps,M,6,,,1,,,,,,,
"Hayden, Michael",0,Justice and Terror: The Mishandling of Enemy Combatants,2010-01-31,WaPo,Air Force,M,10,1,,,,,,,,,
"Rubenstein, Leonard and Xenakis, Stephen",1,Doctors Without Morals,2010-03-01,NYT,Army,M,7,,1,,,,,"Nevertheless, no agency, not the Pentagon, not the CIA…has initiated any action to investigate, much less discipline, these individuals…It is not too late to begin investigations. They should start now. ",,,
"McPeak, Merrill",1,"Don't Ask, Don't Tell, Don't Change",2010-03-05,NYT,Air Force,M,10,,,,1,,,,Permissible,N/A,The author directly addresses the implications for the military of repealing DADT.
"Ralston, Joseph",1,Why the Pentagon Needs Friends in Beijing,2010-03-05,WSJ,Air Force,M,10,,,1,,,,,,,
"Sheehan, Michael",1,The Terrorist Next Door,2010-05-04,NYT,Army,M,5,,,1,,,,,,,
"Hockley, Ralph",1,"The Forgotten War, Remembered: Pinned Down at Busan",2010-06-25,NYT,Army,M,UNK,1,,,,,,,,,
"Bacevich, Andrew",0,The Making of Four Star Arrogance,2010-06-27,WaPo,Army,M,6,,,1,,,,,,,
"Anderson, Steven",1,"Save Energy, Save our Troops",2011-01-13,NYT,Army,M,7,1,,,,,,"Until the Defense Department develops battlefield policies recognizing that energy efficiency contributes to military effectiveness, more blood will be shed, billions of dollars wasted…a new energy efficiency policy would not only save lives and cut costs, it would make a powerful statement regarding the Pentagon's commitment to lowering our dependence on foreign oil. ",,,
"Zinni, Anthony",1,Peace Building that Pays Off,2011-03-08,NYT,Marine Corps,M,10,,,1,,,,,,,
"Hayden, Michael and Mukasey, Michael",0,"In Senate Bill, Anti-Terrorism Tools at Risk",2011-03-10,WaPo,Air Force,M,10,,,1,,,,,,,
"Hayden, Michael and Chertoff, Michael",0,After Gaddafi Falls…,2011-04-22,WaPo,Air Force,M,10,1,,,,,,"If disorder and disarray follow Gaddafi's ouster, will humanitarians be prepared to stand by while the blood of retribution is spilled in the streets; or anarchy reigns; or society disintegrates; or a terrorist haven, famine and disease emerge?",,,
"Allen, Thad and Armitage, Richard and Hamre, John",1,Odd Man Out at Sea,2011-04-25,NYT,Coast Guard,M,10,1,,,,,,,,,
"Dubik, James",1,Finish the Job,2011-04-26,NYT,Army,M,9,1,,,,,,,,,
"Jones, James and Clark, Vern, and England, Gordon",1,The Necessity of U.S. Naval Power,2011-07-11,WSJ,Marine Corps and Navy,M,10,,,1,,,,,,,
"Hayden, Michael",0,Warrantless Criticism,2009-07-27,NYT,Air Force,M,10,,,1,,,,The program [President's Surveillance Program] was crucial in addressing one of the most stinging criticisms of the 9/11 commission - the need to reduce the gap between foreign intelligence and domestic security. ,,,
"Bacevich, Andrew",1,"The Army isn’t like corporate America. It's retirement shouldn't be, either. ",2011-08-21,WaPo,Army,M,6,,,1,,,,,,,
"McFarlane, Robert and Woolsey, James",0,How to Weaken the Power of Foreign Oil,2011-09-21,NYT,Marine Corps,M,5,,,1,,,,"The time has come to strip oil of its strategic status. We owe it to those who lost their lives on 9/11 and in its aftermath, and to those whose fate hangs in the balance. ",,,
"Bacevich, Andrew",1,It's Not America's World Anymore,2011-12-18,WaPo,Army,M,6,,,1,,,,,,,
"Jones, James and Grumet, Jason",1,Let's Keep Our Hands off the Emergency Oil Supply,2012-04-10,NYT,Marine Corps,M,10,,,1,,,,,,,
"Bacevich, Andrew",0,"A Soldier's Misconduct, A General's Responsibility",2012-04-22,WaPo,Army,M,6,,,1,,,,,,,
"Clark, Wesley and Hunt, Swanee",1,Bosnia Still Needs Fixing,2012-05-04,NYT,Army,M,10,1,,,,,,,,,
"Mullen, Mike and Cohen, Steven",1,Let's Serve Those Who Defended Us,2012-05-11,WaPo,Navy,M,10,,1,,,,,,,,
"McChrystal, Stanley ",1,"From Forward Operating Base to Boardroom: Over the Next Five Years, more than one million military service members will return from active duty",2012-05-20,WSJ,Army,M,10,,,1,,,,,,,
"Nagl, John",1,The Age of Unsatisfying Wars,2012-06-06,NYT,Army,M,5,,,1,,,,"Like any successful counterinsurgency, Afghanistan is likely to end somewhat unsatisfyingly for Americans, with a corrupt but gradually improving government in Kabul, advisors helping Afghan security forces fight a weakening but still dangerous Taliban, and a schizophrenic Pakistan alternately helping Afghan and Taliban fighters.",,,
"Keane, Jack and O'Hanlon, Michael and Morgenthau, Robert",1,We Needed the Veterans -- Now they Need Us,2012-07-05,WSJ,Army,M,10,,,1,,,,,,,
"Collins, Michael",1,The Neill ArmstrongI Knew,2012-09-13,WaPo,Air Force,M,8,,1,,,,,,,,
"Hayden, Michael",0,When Intel Meets the Political Debate,2012-10-02,WaPo,Air Force,M,10,,,1,,,,,,,
"Keane, Jack",1,Al Qaeda is Making a Comeback,2012-10-23,WSJ,Army,M,10,,,1,,,,,,,
UNK,1,Recalling the Cuban Missile Crisis,2012-10-28,WaPo,Navy,M,5,,,1,,,,,,,
"Myers, Richard and Casey, George",1,"Beyond the Memorial, a Vietnam War Education",2012-11-27,WSJ,Air Force and Army,M,10,,1,,,,,,,,
"Barno, David and Irvine, Matthew",1,"A Job That 10,000 Troops Can Handle",2012-12-02,WaPo,Army,M,9,1,,,,,,,,,
"Reimer, Dennis and Chiarelli, Peter",1,Allow the Military to Prevent Suicide,2012-12-09,WaPo,Army,M,10,,,1,,,,,,,
"Bacevich, Andrew",1,"Ten Years Ago, the Iraq War Began…So, Did We Win?",2013-03-10,WaPo,Army,M,6,,,1,,,,,,,
"Nagl, John",1,What America Learned in Iraq,2013-03-20,NYT,Army,M,5,,,1,,,,It may seem folly to seek a silver lining among these thunderclouds [lessons from Iraq]. But there are three flickers of light that offer some hope that the enormous price was not paid entirely in vain. ,,,
"Cooper, Scott",1,Moral and Strategic,2013-04-07,WaPo,Marine Corps,M,5,1,,,,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,America's Opportunity,2013-04-08,WaPo,Army,M,10,,,1,,,,,,,
"Loh, John",1,Redundancy in the Armed Forces,2013-04-28,WaPo,Air Force,M,10,,,1,,,,,,,
UNK,1,Leadership and Screening Will End Military's Sexual Assualt Problem,2013-05-15,WaPo,Air Force,UNK,8,,,1,,,,,,,
"Keane, Jack and Pletka, Danielle",1,How to Stop Assad's Slaughter,2013-05-22,WSJ,Army,M,10,1,,,,,,,,,
"Eikenberry, Karl and Kennedy, David",1,"Americans and Their Military, Drifting Apart",2013-05-27,NYT,Army,M,9,,,1,,,,"The civilian-military divide erodes the sense of duty that is critical to the health of our democratic republic, where the most important office is that of citizen. While the armed forces retool for the future, citizens cannot be mere spectators. As Adams said about military power, ""A wise and prudent people will always have a watchful and jealous eye over it.""",,,
"McChrystal, Stanley ",1,Lincoln's Call to Service - and Ours,2013-05-29,WSJ,Army,M,10,,,1,,,,,,,
"Clark, Wesley",1,A Dangerous Disconnect With China,2013-06-07,WaPo,Army,M,10,,,1,,,,,,,
"Clark, Wesley",1,"To Get a Syrian Truce, Be Ready to Escalate",2013-06-19,NYT,Army,M,10,1,,,,,,,,,
"Deptula, David",1,America's No Fly Zones Are Already in Place,2013-06-23,WSJ,Air Force,M,9,1,,,,,,,,,
"Roughead, Gary",1,How We Lost the Seas: What Will Happen should American Sea Power Wane and China Replace the US as the Guarantor of Maritime Security?,2013-07-14,WSJ,Navy,M,10,,,1,,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,"Compromise Not a Dirty Budget Word; in fact, the Federal Government is se up for conciliation. Washington, just do it. ",2013-08-05,USA Today,Army,M,10,,,1,,,,,,,
"Scales, Robert",1,A War the Pentagon Doesn't Want,2013-09-06,WaPo,Army,M,8,,,,,,1,,Permissible,N/A,"The author is critical of President Obama in Syria, but not to the point that it is inappropriate. "
"Barno, David ",1,Who Decides When We Go To War,2013-09-13,WaPo,Army,M,9,,,1,,,,,,,
"McCain, John",0,He Beat Us in War But Never in Battle,2013-10-06,WSJ,Navy,M,6,,,1,,,,,,,
"Mullen, Mike",1,They Did Not Die in Vain,2013-11-19,WaPo,Navy,M,10,,1,,,,,,,,
"Allen, John",1,Ignore Karzai's Arrogance,2013-11-29,NYT,Marine Corps,M,10,1,,,,,,,,,
"Sullivan, Gordon",1,Pay Worthy of the Hardships,2014-01-06,WaPo,Army,M,10,,1,,,,,,,,
UNK,1,Mr. Gates's Ill-Considered Complaints,2014-01-12,WaPo,Air Force,UNK,8,,1,,,,,,,,
UNK,1,Part of a General's Tale Was Left Out,2014-02-01,WaPo,Air Force,M,6,,,1,,,,,,,
"Petraeus, David",1,Democracy Dividends from the Afghanistan Investment,2014-04-09,WSJ,Army,M,10,,,1,,,,,,,
"Petraeus, David and Serchuk, Vance",1,The Day After an Iran Deal,2014-04-10,WaPo,Army,M,10,1,,,,,,,,,
"Gentile, Gian",1,We Need a Fighting Army,2014-04-18,WaPo,Army,M,6,1,,,,,,,,,
"Davis, M. Thomas",1,The Right Soldier for the VA,2014-05-23,WaPo,Army,M,6,,1,,,,,,,,
"McRaven, William",1,Life Lessons from Navy SEAL Training,2014-05-24,WSJ,Navy,M,10,,,1,,,,,,,
"Honore, Russell",1,Safeguarding Louisiana's Coastline,2014-05-29,NYT,Army,M,9,,,1,,,,,,,
"Slear, Thomas",1,My Military Benefits Are Too Generous,2014-06-08,WaPo,Army,M,5,1,,,,,,,,,
"Keane, Jack",1,A Plan to Save Iraq from ISIS and Iran,2014-06-16,WSJ,Army,M,10,1,,,,,,,,,
"Davis, Morris",1,No to Guantanamo for Khattala,2014-06-20,NYT,Air Force,M,6,1,,,,,,"When it comes to Mr. Abu Khattala and Guantanamo, the question is not could we, but should we? And the answer is no. ",,,
"Abizaid, John and Brooks, Rosa",1,We Need a Rulebook for Drones,2014-06-27,WaPo,Army,M,10,1,,,,,,,,,
"Barno, David ",1,The Army's Next Enemy? Peace.,2014-07-13,WaPo,Army,M,9,1,,,,,,,,,
"Hayden, Michael and Bayh, Evan",0,A Doubly Dangerous Iran,2014-07-17,WSJ,Air Force,M,10,1,,,,,,,,,
"Taguba, Antonio",1,Stop the CIA Spin on Torture,2014-08-08,NYT,Army,M,8,,,1,,,,,,,
"Jones, James",1,How to Save Iraq and Honor American Sacrifice,2014-08-14,WSJ,Marine Corps,M,10,,,1,,,,,,,
"Keane, Jack and Pletka, Danielle",1,An American-Led Coalition Can Defeat ISIS,2014-08-24,WSJ,Army,M,10,1,,,,,,,,,
"McChrystal, Stanley ",1,A Service Year to Build American Community,2014-11-16,WaPo,Army,M,10,,,1,,,,,,,
"Hayden, Michael and Mukasey, Michael",1,NSA Reform that Only ISIS Could Love,2014-11-17,WSJ,Air Force,M,10,,,,,,1,,Permissible,N/A,"Critical of the 113th Congress, but in general terms."
"Scales, Robert",1,"To Stop the Terrorists, Take Away Their Hope",2015-01-25,WaPo,Army,M,8,1,,,,,,,,,
UNK,1,The Best and the Brightest,2015-01-28,WaPo,Air Force,UNK,5,,,1,,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,The Next American Century,2015-02-01,WaPo,Army,M,10,,,1,,,,"…Democrats and Republicans should agree on one proposition: This is another American century, and the future has seldom looked brighter.  Washington policymakers do not need to rescue the nation from the precipice so much as to make reasonable, mid-size compromises on a number of policies and otherwise get out of the way. ",,,
"Stone, Douglas and Atran, Scott",1,The Kurds' Heroic Stand Against ISIS,2015-03-16,NYT,Marine Corps,M,8,1,,,,,,,,,
"Anderson, Gary",1,Street Fighting,2015-03-25,WaPo,Marine Corps,M,6,,,1,,,,,,,
"Hayden, Michael and Heinonen, Olli and Takeyh, Ray",0,A Time Bomb on Iran,2015-03-23,WaPo,Air Force,M,10,,,1,,,,"With stakes so high, we need a national debate about the nature and parameters of  of any agreement. The right venue for that debate is in the halls of Congress. No agreement can be considered viable or enduring without such legislative approbation.",,,
"Davis, Morris",1,Guantanomo's Charade of Justice,2015-03-28,NYT,Air Force,M,6,1,,,,,,We need to set politics aside and end this litany of failure [at Guantanamo]. We have competent and credible federal courts that can provide justice - and finally a measure of closure for the thousands of our fellow citizens who have had to wait far too long. ,,,
"Hayden, Michael",0,Getting Past the Zero-Sum Game Online,2015-04-03,WaPo,Air Force,M,10,,,1,,,,Today's issues give the United States a chance t demonstrate to the world that its tough and powerful intelligence services understand what is at stake and intend to join the public discussion on how to balance the truly important privacy and security questions before us.....,,,
"Cartwright, James and Dvorkin, Vladimir",1,How to Avert a Nuclear War,2015-04-20,NYT,Marine Corps,M,10,1,,,,,,,,,
"Mattis, James",1,The Meaning of Their Service,2015-04-20,WSJ,Marine Corps,M,10,,1,,,,,,,,
"McSally, Martha",1,Saving a Plane that Saves Lives,2015-04-20,NYT,Air Force,F,6,,,1,,,,The A-10 has supporters because we know it works -- and that the American military can't afford to retire it. ,,,
"Harvey, Derek and Rickfels, Norman",1,Islamic State is Winning in Iraq,2015-05-20,WSJ,Army,M,6,1,,,,,,,,,
"Deptula, David",1,Bombing Our Way to Victory,2015-06-06,WaPo,Air Force,M,9,1,,,,,,,,,
"Kelly, Paul",1,Veterans Want an Ike Memorial,2015-06-14,WaPo,Marine Corps,M,10,,1,,,,,,,,
"Shelton, William",1,American Security After the SpaceX Explosion,2015-07-01,WSJ,Air Force,M,10,1,,,,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,Afghanistan After Obama,2015-07-08,WaPo,Army,M,10,1,,,,,,,Permissible,N/A,The authors address actions that the next administration after Obama should take in Afghanistan.
"Scales, Robert",1,Our Army is Breaking,2015-08-02,WaPo,Army,M,8,1,,,,,,,,,
UNK x 2,1,Sen. Graham's Military Service,2015-08-07,WaPo,Army and Air Force,UNK,"UNK, 10",,1,,,,,,,,
"Odierno, Raymond",1,This is no Time to Cut the Army,2015-08-17,WSJ,Army,M,10,1,,,,,,,,,
"Petraeus, David and Ross, Dennis",1,The Bite in the Iran Nuclear Deal,2015-08-26,WaPo,Army,M,10,,,1,,,,,,,
"Roughead, Gary",1,America Falls Behind Russia in the Arctic Oil Race,2015-08-27,WSJ,Navy,M,10,,,1,,,,,,,
UNK,1,Hilary Clinton's E-mail Behavior Was Not Business as Usual,2015-09-01,WaPo,Air Force,UNK,6,,1,,,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,Rebuild American Success; Economic Growth Should Be at the Top of Policy Agenda for US Leaders,2015-10-14,USA Today,Army,M,10,,,1,,,,,,,
"Scales, Robert",1,Western Europe's Precarious Defenses,2015-12-01,WSJ,Army,M,8,1,,,,,,,,,
UNK,1,Civilians Did Not Prosecute Soldier,2015-12-24,WaPo,Navy,UNK,UNK,,1,,,,,,,,
"Petraeus, David and O'Hanlon, Michael",1,Unleash US Air Power in Afghanistan,2016-01-15,WaPo,Army,M,10,1,,,,,,,,,
"Schwartz, Norton and Stavridis, James",1,A Quick Fix for the U.S. Icebreaker Gap,2016-02-04,WSJ,Air Force and Navy,M,10,,,1,,,,,,,
"Hayden, Michael",,The Case for Drones,2016-02-21,NYT,Air Force,M,10,,,1,,,,"[UAVs] carrying precision weapons ad guided by powerful intelligence offer a proportional and discriminating response when response is necessary. Civilians have died, but in my firm opinion, the death toll would have been much higher if we had not taken action. ",,,
"Krepinevich, Andrew",1,Overhauling the US Army for the Age of Irregular Warfare,2016-02-22,WSJ,Army,M,6,1,,,,,,,,,
"Blair, Dennis and Hornung, Jeffrey",1,China's Self-Defeating Provocations,2016-03-03,WaPo,Navy,M,10,,,1,,,,,,,
"Petraeus, David",1,5 Big Ideas to Guide Us in the Long War,2016-04-17,WaPo,Army,M,10,,,1,,,,,,,
UNK,1,The Senate Slights Military Leaders,2016-04-30,WaPo,Navy,UNK,UNK,,,1,,,,,,,
UNK,1,Fists Raised at West Point,2016-05-13,WaPo,Army,M,6,,,,1,,,,,,
"Petraeus, David",1,Anti-Muslim Bigotry Aids Islamist Terrorists,2016-05-15,WaPo,Army,M,10,1,,,,,,"Demonizing a religious faith and its adherents not only runs contrary to our most cherished and fundamental values as a country; it is also corrosice to our vital national security interests and, ultimately, to the United States' success in this war. ",,,
"Petraeus, David and O'Hanlon, Michael",1,Take the Gloves Off Against the Taliban,2016-05-23,WSJ,Army,M,10,1,,,,,,,,,
"Stavridis, James and Allen, John",1,Expanding the U.S. Military's Smart-Power Toolbox,2016-06-10,WSJ,Navy and Marine Corps,M,10,,,1,,,,,,,
"McChrystal, Stanley ",1,Home Should Not Be a War Zone,2016-06-18,NYT,Army,M,10,,,,,1,,,Questionable,Topic,The author addresses domestic violence and makes comments about the 2nd amendment
"Anderson, Gary",1,Red Cross Killed Non-Lethal Weapons,2016-06-24,WSJ,Marine Corps,M,6,,,1,,,,,,,
"Dempsey, Martin",1,Military Leaders Should be Apolitical,2016-07-31,WaPo,Army,M,10,,,1,,,,,,,
"Hayden, Michael",0,Classified Briefings and Candidates,2016-08-10,NYT,Air Force,M,10,,,,,,1,"The members of the Obama team took such dialogue seriously…I suspect Secretary Clinton would reach much the same.  How Mr. Trump -- who routinely describes those with alternative views as weak, corrupt, or stupid -- would respond is anyone's guess. But I'd rather not find out. ",,,
"Petraeus, David and O'Hanlon, Michael",1,The Myth of a U.S. Military 'Readiness' Crisis,2016-08-11,WSJ,Army,M,10,,,1,,,,,,,
"Davis, Morris",1,Stop Meddling in the Bergdahl Case,2016-08-12,NYT,Air Force,M,6,,,,,,1,"[What is happening with SGT Bowe Bergdahl] does not sit well with certain politicians who have treated Sergeant Bergdahl's case as if it were a political football. Foremost among them is Senator John McCain of Arizona, chairman of the Senate Armed Services Committee. ",,,
"Petraeus, David",1,"For Mosul, Learning From 2003",2016-08-14,WaPo,Army,M,10,1,,,,,,,,,
"Cartwright, James and Blair, Bruce",1,End Nuclear First-Use Policy,2016-08-16,NYT,Marine Corps,M,10,,,1,,,,,,,
"Lash, Fred",1,A Mud Soldier and Media Peacemaker,2016-08-28,WaPo,Marine Corps,M,4,,,1,,,,,,,
"Keane, Jack and Apgar IV, Mahlon",1,The Army Offers a Model for Broader Defense Reform,2016-08-31,WSJ,Army,M,10,,,1,,,,,,,
"Mullen, Mike",1,A Sharper Focus on North Korea,2016-09-16,WaPo,Navy,M,10,,,1,,,,,,,
"Hayden, Michael",0,Russia's Useful Tool,2016-11-04,WaPo,Air Force,M,10,,,,,,1,"I'd prefer another term [for Presidential Candidate Trump]…polezni durak That's the useful fool, some naif, manipulated by Moscow, secretly held in contempt, but whose blind support is happily accepted and exploited. ",,,
"Hayden, Michael",0,Trump's Most Important New Partner,2016-11-15,WaPo,Air Force,M,10,,,,,,1,"That;s the tough task before the president-elect's intelligence briefers, and they its accomplishment to their professional ethic, to the nation, and to the new president. ",,,
"Hayden, Michael",0,A Damaging Disregard for Intel,2016-12-13,WaPo,Air Force,M,10,,,,,,1,"As I wrote last month, intelligence should be called on to create the basis, and set the boundaries, for rational policy choices. That's still true. The odds that it will happen, though, seem a little bleaker after this past week. And we are moving in the wrong direction [re: the incoming Trump Presidency].",,,
"McCain, John",0,"We Have a Stake in Syria, Yet We Have Done Nothing",2016-12-23,WaPo,Navy,M,6,,1,,,,,,,,
"Hayden, Michael",1,The Travel Ban Hurts American Spies - and America,2017-02-06,WaPo,Air Force,M,10,,,,,,1,,Questionable,Topic,The author takes issue with President Trump's executive order suspending immigration from several countries.
"Mullen, Mike",1,Bannon Has No Place on the NSC,2017-02-06,NYT,Navy,M,10,,,,,,1,,Questionable,Topic,The author raises concerns about who President Trump puts on the NSC.  
"Hayden, Michael",0,Donald Trump is Undermining Intelligence Gathering,2017-03-09,NYT,Air Force,M,10,,,,,,1,,Permissible,N/A,The author raises concerns regarding President Trump's policies and intelligence without blatantly attacking the administration.
"McCain, John and Graham, Lindse",0,Why We Need More Forces to End the Stalemate in Afghanistan,2017-03-14,WaPo,Navy and Air Force,M,"6, 6",1,,,,,,,,,
"McChrystal, Stanley ",1,Save PBS. It Makes Us Safer. ,2017-04-05,NYT,Army,M,10,,,1,,,,,,,
"Sweeney, John",1,Back the Talk With More Ground Forces in South Korea,2017-04-18,WaPo,Army,M,6,1,,,,,,,,,
"Wald, Charles and Makovsky, Michael",1,"The Two Faces of Qatar, a Dubious Mideast Ally",2017-04-25,WSJ,Air Force,M,10,,,1,,,,,,,
"Hayden, Michael",0,Trump Proves He's Russia's Useful Fool,2017-05-18,WaPo,Air Force,M,10,,,,,,1,"Six months later, it is disappointing to report, the term ""useful fool"" still seems a pretty apt description. ",,,
"Petraeus, David and O'Hanlon, Michael",1,Getting an Edge in the Long Afghan Struggle,2017-06-26,WSJ,Army,M,10,1,,,,,,,,,
"Griffith, Ronald",1,The United States Should Support the Kurds' Move Towards Independence,2017-07-03,WaPo,Army,M,10,1,,,,,,,,,
"Casey, George",1,Veterans of the War on Terror Deserve a Memorial on the Wall,2017-07-23,WaPo,Army,M,10,,1,,,,,,,,
"Blair, Dennis and Alexander, Keith",1,China's Intellectual Property Theft Must Stop,2017-08-15,NYT,Army and Navy,M,10,,,1,,,,,,,
"Stavridis, James and Bergenas, Johan",1,The Fishing Wars are Coming,2017-09-13,WaPo,Navy,M,10,,,1,,,,,,,
"Mullen, Mike",1,The Refugees We Need,2017-09-29,NYT,Navy,M,10,,,,,,1,,Questionable,Topic,"The author asserts that President Trump's stance on refugees will have drastic consequences for the country, including several non-military implications. "
"McCain, John",0,I Choose the Kurds,2017-10-25,NYT,Navy,M,6,1,,,,,,,,,
"Cartwright, James and Perry, William ",1,We Can Cut Back Our Nuclear Arsenal,2017-11-17,WaPo,Marine Corps,M,10,,,1,,,,,,,
"McPeak, Merrill",1,Bombing the Ho Chi Minh Trail; Vietnam '67,2017-12-26,NYT,Air Force,M,10,,,1,,,,,,,
"Wilkerson, Lawrence ",1,A Familiar Road to War,2018-02-06,NYT,Army,M,6,,,1,,,,,,,
